,VOI.t0,VOI.t1,VOI.t2,VOI.t3,VOI.t4,VOI.t5,OIR.t0,OIR.t1,OIR.t2,OIR.t3,OIR.t4,OIR.t5,MPB.t0,MPB.t1,MPB.t2,MPB.t3,MPB.t4,MPB.t5
rbj5_2025-01-14,1.8530773014135914e-05,1.8527831725886928e-05,2.034083229653675e-05,1.4928444551182174e-05,1.63452627843876e-05,9.938566240171198e-06,8.754278096725715e-05,-4.927479959625332e-06,1.1379888849314122e-05,3.787361599793228e-05,6.0904227868348285e-06,6.647535046467072e-06,0.18547761583998834,-0.20778379617988268,0.1269700519216224,-0.13721989217757605,0.05819447327674289,-0.011895364708747433
rbj5_2025-01-15,5.639647158742088e-07,3.088286211160561e-07,-1.631310717564936e-07,3.956484518369219e-06,7.612083705784064e-06,1.2278222124168739e-06,0.00017355199456896644,1.6310804385731476e-05,9.274971050067528e-05,4.9993451460587244e-05,-2.2076296222433098e-05,3.054105982033644e-05,0.760921114099157,-0.6942660100240083,0.44989256913046083,-0.8484765858292513,0.8544527143438934,-0.5184583109692663
rbj5_2025-01-16,6.136836760792662e-06,4.147801258288722e-06,4.877089434364858e-06,5.487481440403559e-06,3.7914420937312536e-06,4.436508696833661e-06,8.031355904354927e-05,-2.7841617846892124e-05,-2.436747388897998e-05,1.8487464040931045e-05,1.1037551149460824e-05,2.4708090789598727e-05,0.17373358674203987,-0.17375916418759305,0.1341562372236212,-0.08934900091091535,0.05275554262252419,-0.08937746697835434
rbj5_2025-01-17,-1.376053232272377e-05,-1.342207088850456e-05,-1.2922542391570664e-05,-9.740675192646783e-06,-1.34253779204848e-05,1.8687514915031824e-06,6.709309745091977e-05,-0.0001136414831774977,-9.635650914413421e-05,-6.822875176331494e-05,-5.016115365568593e-05,-0.00011234865870302481,0.1366457970497023,-0.16092809575107497,0.08094310907896737,-0.05216108967720149,0.03262098555684322,-0.011288110758316055
rbj5_2025-01-20,1.1149030633142285e-05,-4.0758768052882814e-05,-2.457381844844132e-05,-2.5407966898793394e-05,-5.1147654975129034e-05,1.8067976879975503e-05,-0.00013717271388703298,4.483621092095715e-06,-0.00019615815245393033,-0.0003001413639150564,-0.00016465030079931259,-0.0003546230790123669,0.1396553868154604,-0.17893129134500133,0.08808359546345373,-0.02652425875787838,-0.013134092399336855,0.024172936897090384
rbj5_2025-01-21,4.481857810718978e-05,4.068839252214142e-05,2.548172844699744e-05,1.7468166409787398e-05,1.3603303642104094e-05,-5.3830880007313704e-06,2.820614759391863e-05,-1.4864767057156011e-05,1.906398075679786e-05,-8.989492427594714e-06,2.050481233699051e-05,6.399449831530667e-05,0.037438142821190984,-0.09245192258768349,0.013317600974071512,0.061954563167390134,-0.03038258382275317,0.021666162916937994
rbj5_2025-01-22,2.151199792890253e-06,3.1466688304905673e-06,3.4851841164933836e-06,3.368454017899659e-06,3.841430170952121e-06,3.968620736630863e-06,9.55562589636943e-05,-5.3266941177156936e-05,-7.540725892198034e-05,-4.921673046880019e-05,-6.147383843100861e-05,-4.135986877775675e-05,0.02246939019693618,-0.019546440658628948,-0.03044598272041594,0.03464352018941606,-0.03998943700869924,0.041296118440454214
rbj5_2025-01-23,-1.9560021042714157e-05,-2.7050663319694995e-05,-2.7749819847022138e-05,-1.5850239314533345e-05,-2.810585890080739e-05,-7.335295925201116e-06,0.00023302286337534983,-5.440782023050254e-05,-2.9871844716324896e-05,-1.7476407660641653e-05,-2.5920402454078973e-05,-5.5389386859682975e-05,0.15773112808839773,-0.04345219815593086,-0.07072955717416843,0.08820448175717015,-0.11898202754992543,-0.004303655132146725
rbj5_2025-01-24,1.1182962190634302e-06,-6.533191511370388e-07,-4.930978328851302e-07,6.599674488966737e-08,-1.4451751757844125e-07,-1.9519253729053817e-06,0.0001585859787340433,-1.51737445079566e-05,-2.2174097220804915e-05,-8.959976029367493e-06,-1.1012237022728083e-06,1.0425884091398478e-05,0.07130915473179979,-0.09008069586625736,0.021612969663881387,-0.0500985641868614,0.08843405209117335,-0.034829846869502544
rbj5_2025-01-27,2.371353690079029e-06,1.4853366741351346e-06,-1.6312418739979194e-07,5.848545513498538e-07,2.8753348119275625e-06,7.234062123604679e-06,0.0001727488706014556,-1.6236184374913626e-06,1.0606558167703875e-05,1.1978590270716755e-05,1.0479181534704469e-05,-1.1152643305595525e-05,0.07913663043761794,-0.1879652430210063,0.11490938257891996,-0.027282990197855257,0.017959618893381553,0.006091382739458137
rbj5_2025-01-28,-3.150395693929562e-05,-2.546870197080777e-05,-2.2601003308669598e-05,-1.2565808560757625e-05,-2.4413619669961118e-05,-9.542536226813911e-06,0.0002575773389959378,-3.0283097479624624e-05,-6.060355135958817e-06,-2.9698948343590762e-05,3.297929402901078e-06,-6.060247159116683e-05,0.08488054656719392,-0.0866030405865738,0.030836775726658317,-0.03689006810410837,0.023190950308587987,-0.0029263411281889463
rbj5_2025-01-29,1.4148663876765672e-05,9.10205363448557e-06,7.910593980393309e-06,5.791807896344961e-06,4.059682209134085e-06,3.128084275957144e-06,8.212988150424938e-05,-1.5835854794455433e-05,-1.1423216222191074e-05,-4.142438363031147e-06,-2.0563798293640443e-05,3.4235512973229444e-06,-0.08788680356752318,0.08999086692515017,-0.10001633928405443,0.1534007941509508,-0.13390410012451875,0.08840766844480939
rbj5_2025-01-30,-2.1393444297332816e-06,2.8006043275390747e-06,6.50411582859931e-06,4.189195077100615e-06,1.5912620294548564e-06,-4.8770180943529585e-06,0.00017098760543104042,-9.713278741266135e-05,-3.5701674631899704e-05,3.20044279122064e-05,4.4521338021118314e-05,6.88466335271958e-05,0.04074731488318943,-0.02884661741946183,0.028071536760054073,-0.03127384281509156,0.014910313246712683,-0.01961510383413446
rbj5_2025-01-31,3.290892444152153e-07,-5.754604778797042e-07,-2.155124575786775e-06,-3.3313493058382096e-06,-9.620547353441153e-07,6.613884417985344e-06,0.00011303601308724774,-3.2605275208313485e-05,-3.5337846801481126e-05,-2.671077531975656e-05,-4.948657919811626e-05,-7.225024991449373e-05,0.04937399041372842,-0.06430390389533971,0.06757381682137865,-0.05348387687640478,-0.01439301288294402,0.01731716706522093
rbj5_2025-02-02,1.559858142040315e-06,1.7575538751075287e-06,9.978676495845327e-08,1.8413440212962364e-06,1.4120773258300449e-06,1.2697638556525658e-06,-9.049468130596622e-05,-0.00022125023669729925,-0.00011978718320463473,-6.264462766705894e-05,-9.363996737223248e-05,-4.36251778796666e-05,-0.04804597929622765,0.05203365171843586,-0.06584731423753247,0.03281675476148179,-0.05675911123429552,0.10842635867546133
rbj5_2025-02-03,-1.9147952988776104e-06,-3.642302610447405e-06,-4.6832536654871325e-06,-2.8472990066394182e-06,-4.927148202326138e-06,-3.6601949170984957e-06,0.00015985875337517998,-2.072621880365181e-05,-1.9723242929996178e-05,-1.524051967353684e-05,1.5683082145188306e-06,-9.743685378500916e-06,0.06466696105471899,-0.08381516828270955,0.10007288349047772,-0.08144250837725513,0.06629641867240917,-0.06535108529581678
rbj5_2025-02-04,9.207905854964771e-06,1.0835695712269377e-05,1.4110343637956497e-05,9.504933116903782e-06,1.0205661750332376e-05,6.711772899517824e-06,0.00020832818055529722,-1.3944504646633154e-05,-1.904142899514817e-05,5.955832321771535e-06,-7.899093797718414e-06,3.700590452281544e-05,0.03608432681308181,-0.012074155702558523,-0.011412823883249225,-0.033227536025541266,-0.014044728320403672,0.03569337544896511
rbj5_2025-02-05,5.937273059260872e-07,-4.146255159404189e-07,7.494624716767252e-07,1.421355185691687e-06,9.301990986884932e-07,4.471834320224058e-06,0.00010491779139785846,-1.2060297360549466e-05,-4.2809661664069004e-05,-3.529293440714521e-05,-3.450464321271071e-05,-5.287459930389039e-05,-0.023526272680784083,0.05141739661625684,-0.06046003882819321,0.08598760387001675,-0.06955372892852496,0.022788282617443378
